pct,month,total_list_size
08V,2015-08-01 00:00:00+00:00,291542
08A,2015-08-01 00:00:00+00:00,284409
00L,2015-08-01 00:00:00+00:00,322225
99H,2015-08-01 00:00:00+00:00,301651
11A,2015-08-01 00:00:00+00:00,549441
99J,2015-08-01 00:00:00+00:00,477907
01Y,2015-08-01 00:00:00+00:00,243518
02P,2015-08-01 00:00:00+00:00,255197
12A,2015-08-01 00:00:00+00:00,264329
05N,2015-08-01 00:00:00+00:00,303227
07Y,2015-08-01 00:00:00+00:00,304411
01F,2015-08-01 00:00:00+00:00,129783
08F,2015-08-01 00:00:00+00:00,265067
03Q,2015-08-01 00:00:00+00:00,351618
05Q,2015-08-01 00:00:00+00:00,216234
10V,2015-08-01 00:00:00+00:00,211608
01K,2015-08-01 00:00:00+00:00,158647
01E,2015-08-01 00:00:00+00:00,210004
01G,2015-08-01 00:00:00+00:00,259428
03K,2015-08-01 00:00:00+00:00,171294
07G,2015-08-01 00:00:00+00:00,169783
09N,2015-08-01 00:00:00+00:00,220975
08C,2015-08-01 00:00:00+00:00,208905
99E,2015-08-01 00:00:00+00:00,272516
05G,2015-08-01 00:00:00+00:00,215627
03J,2015-08-01 00:00:00+00:00,189742
08H,2015-08-01 00:00:00+00:00,232862
07Q,2015-08-01 00:00:00+00:00,338555
01W,2015-08-01 00:00:00+00:00,305348
07L,2015-08-01 00:00:00+00:00,211198
06A,2015-08-01 00:00:00+00:00,266841
03E,2015-08-01 00:00:00+00:00,161679
08R,2015-08-01 00:00:00+00:00,219213
10G,2015-08-01 00:00:00+00:00,139861
99A,2015-08-01 00:00:00+00:00,505184
03T,2015-08-01 00:00:00+00:00,245303
04N,2015-08-01 00:00:00+00:00,123661
07H,2015-08-01 00:00:00+00:00,301552
03H,2015-08-01 00:00:00+00:00,168866
05C,2015-08-01 00:00:00+00:00,314929
99F,2015-08-01 00:00:00+00:00,185620
08D,2015-08-01 00:00:00+00:00,300262
10D,2015-08-01 00:00:00+00:00,108850
01N,2015-08-01 00:00:00+00:00,170656
03G,2015-08-01 00:00:00+00:00,270690
07N,2015-08-01 00:00:00+00:00,233654
